Date,Open,High,Low,Close,Adj Close,Volume
2018-01-08,254.750000,255.179993,251.619995,251.809998,251.809998,2940500
2018-01-09,252.800003,255.600006,252.619995,253.940002,253.940002,2637300
2018-01-10,255.000000,255.149994,252.350006,254.330002,254.330002,2927200
2018-01-11,255.750000,255.889999,252.970001,255.130005,255.130005,2422400
2018-01-12,255.750000,257.299988,254.089996,257.029999,257.029999,2849200
2018-01-16,259.250000,261.769989,256.399994,258.459991,258.459991,4445500
2018-01-17,260.980011,262.000000,248.839996,253.649994,253.649994,8608100
2018-01-18,254.490005,254.539993,250.600006,250.970001,250.970001,4984500
2018-01-19,251.000000,256.140015,250.259995,256.119995,256.119995,4643400
2018-01-22,255.449997,262.869995,255.190002,261.519989,261.519989,5264700
2018-01-23,258.000000,260.260010,256.850006,260.089996,260.089996,4003600
2018-01-24,260.739990,265.779999,260.299988,265.679993,265.679993,4314000
2018-01-25,266.350006,270.500000,265.010010,269.029999,269.029999,5055000
2018-01-26,267.489990,269.000000,266.049988,268.140015,268.140015,3535400
2018-01-29,269.040009,273.790009,268.809998,272.480011,272.480011,3881100
2018-01-30,270.390015,272.000000,267.109985,268.940002,268.940002,3970400
2018-01-31,268.549988,270.000000,266.329987,267.890015,267.890015,3710200
2018-02-01,266.149994,272.589996,266.000000,272.230011,272.230011,3388200
2018-02-02,270.000000,271.750000,259.350006,260.040009,260.040009,5913900
2018-02-05,257.510010,263.299988,241.500000,249.110001,249.110001,6528500
2018-02-06,244.210007,258.750000,242.110001,258.700012,258.700012,6710100
